cip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,sload,dload,spkts,dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,sjit,djit,stime,ltime,sintpkt,dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src__ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm
0.0,5353,0.0,5353,udp,INT,20.070513010025024,238,0,255,0,0,0,other,11.858192158871143,0.0,2,0,0,0,0,0,119.0,0.0,0,0,0.0,0.0,1771531385.463329,1771531405.533842,20.070513010025024,0.0,0.0,0.0,0.0,1,24,0,0,0,1,27,27,1,1,27,1
0.0,5353,0.0,5353,udp,INT,3.9351699352264404,671,0,255,0,0,0,other,170.51360196504166,0.0,4,0,0,0,0,0,167.75,0.0,0,0,1.1432967579328475,0.0,1771531387.306638,1771531391.241808,1.3117233117421467,0.0,0.0,0.0,0.0,1,24,0,0,0,1,27,27,1,1,27,1
0.0,5353,0.0,5353,udp,INT,9.933042049407959,1250,0,1,0,0,0,other,125.84261636892033,0.0,17,0,0,0,0,0,73.52941176470588,0.0,0,0,1.057700617467357,0.0,1771531388.637819,1771531398.570861,0.6208151280879974,0.0,0.0,0.0,0.0,1,14,0,0,0,8,27,27,8,1,27,1
0.0,137,0.0,137,udp,INT,10.564228057861328,1104,0,128,0,0,0,other,104.50361294296962,0.0,12,0,0,0,0,0,92.0,0.0,0,0,2.1000906063862463,0.0,1771531388.970783,1771531399.535011,0.9603843688964844,0.0,0.0,0.0,0.0,1,16,0,0,0,8,6,6,8,1,1,1
0.0,53405,0.0,5355,udp,INT,0.5855109691619873,128,0,1,0,0,0,other,218.61247139946843,0.0,2,0,0,0,0,0,64.0,0.0,0,0,0.0,0.0,1771531388.974154,1771531389.559665,0.5855109691619873,0.0,0.0,0.0,0.0,0,14,0,0,0,8,6,6,8,6,1,6
0.0,53626,0.0,5355,udp,INT,0.577584981918335,128,0,1,0,0,0,other,221.61241030691824,0.0,2,0,0,0,0,0,64.0,0.0,0,0,0.0,0.0,1771531388.98208,1771531389.559665,0.577584981918335,0.0,0.0,0.0,0.0,0,14,0,0,0,8,6,6,8,6,1,6
0.0,57255,0.0,53,udp,INT,0.0067708492279052734,76,144,128,124,0,0,dns,11224.58903482517,21267.642381774007,1,1,0,0,0,0,76.0,144.0,0,0,0.0,0.0,1771531389.006282,1771531389.013053,0.0,0.0,0.0,0.0,0.0,0,16,0,0,0,13,13,13,33,13,1,13
0.0,36379,0.0,1900,udp,INT,1e-06,167,0,1,0,0,0,other,167000000.0,0.0,1,0,0,0,0,0,167.0,0.0,0,0,0.0,0.0,1771531389.118927,1771531389.118927,0.0,0.0,0.0,0.0,0.0,0,14,0,0,0,2,5,5,2,1,1,1
0.0,5353,0.0,5353,udp,INT,19.968078136444092,158,0,255,0,0,0,other,7.9126292936339935,0.0,2,0,0,0,0,0,79.0,0.0,0,0,0.0,0.0,1771531389.661758,1771531409.629836,19.968078136444092,0.0,0.0,0.0,0.0,1,24,0,0,0,1,27,27,1,1,27,1
0.0,5353,0.0,5353,udp,INT,2.9564809799194336,246,0,1,0,0,0,other,83.20702946200036,0.0,3,0,0,0,0,0,82.0,0.0,0,0,0.4542274475097656,0.0,1771531391.607377,1771531394.563858,1.4782404899597168,0.0,0.0,0.0,0.0,1,14,0,0,0,1,27,27,1,1,27,1
0.0,5353,0.0,5353,udp,INT,15.909075021743774,755,0,255,0,0,0,other,47.45719024947092,0.0,5,0,0,0,0,0,151.0,0.0,0,0,2.5656881599501413,0.0,1771531394.057866,1771531409.966941,3.9772687554359436,0.0,0.0,0.0,0.0,1,24,0,0,0,1,27,27,1,1,27,1
0.0,5353,0.0,5353,udp,INT,1.024048089981079,789,0,255,0,0,0,other,770.4716289393969,0.0,5,0,0,0,0,0,157.8,0.0,0,0,0.03686772332163347,0.0,1771531394.269774,1771531395.293822,0.2560120224952698,0.0,0.0,0.0,0.0,1,24,0,0,0,1,27,27,1,1,27,1
0.0,58903,0.0,5355,udp,INT,0.5783491134643555,128,0,1,0,0,0,other,221.3196095923277,0.0,2,0,0,0,0,0,64.0,0.0,0,0,0.0,0.0,1771531397.992512,1771531398.570861,0.5783491134643555,0.0,0.0,0.0,0.0,0,14,0,0,0,8,6,6,8,6,1,6
0.0,51968,0.0,5355,udp,INT,0.5783491134643555,128,0,1,0,0,0,other,221.3196095923277,0.0,2,0,0,0,0,0,64.0,0.0,0,0,0.0,0.0,1771531397.992512,1771531398.570861,0.5783491134643555,0.0,0.0,0.0,0.0,0,14,0,0,0,8,6,6,8,6,1,6
0.0,57621,0.0,57621,udp,INT,1e-06,82,0,64,0,0,0,other,82000000.0,0.0,1,0,0,0,0,0,82.0,0.0,0,0,0.0,0.0,1771531400.823453,1771531400.823453,0.0,0.0,0.0,0.0,0.0,1,3,0,0,0,2,6,6,2,1,5,1
0.0,41407,0.0,1900,udp,INT,1e-06,167,0,1,0,0,0,other,167000000.0,0.0,1,0,0,0,0,0,167.0,0.0,0,0,0.0,0.0,1771531400.925782,1771531400.925782,0.0,0.0,0.0,0.0,0.0,0,14,0,0,0,2,5,5,2,1,1,1
0.0,5353,0.0,5353,udp,INT,3.7888779640197754,1254,0,255,0,0,0,other,330.96869624947755,0.0,6,0,0,0,0,0,209.0,0.0,0,0,0.6802023486978821,0.0,1771531401.130577,1771531404.919455,0.7577755928039551,0.0,0.0,0.0,0.0,1,24,0,0,0,1,27,27,1,1,27,1
0.0,57621,0.0,57621,udp,INT,1e-06,86,0,128,0,0,0,other,86000000.0,0.0,1,0,0,0,0,0,86.0,0.0,0,0,0.0,0.0,1771531403.588195,1771531403.588195,0.0,0.0,0.0,0.0,0.0,1,16,0,0,0,2,6,6,2,1,5,1
0.0,5353,0.0,5353,udp,INT,1e-06,465,0,255,0,0,0,other,465000000.0,0.0,1,0,0,0,0,0,465.0,0.0,0,0,0.0,0.0,1771531405.73865,1771531405.73865,0.0,0.0,0.0,0.0,0.0,1,24,0,0,0,1,27,27,1,1,27,1
0.0,51140,0.0,5228,tcp,ACC,0.14377188682556152,55,66,128,120,0,0,other,382.5504499828365,459.06053997940376,1,1,510,1046,3722641677,1027871103,55.0,66.0,0,0,0.0,0.0,1771531406.699224,1771531406.842996,0.0,0.0,0.0,0.0,0.0,0,17,0,0,0,2,1,1,33,1,1,1
0.0,51189,0.0,443,tcp,ACC,0.07737302780151367,2012,178,128,121,0,0,https,26003.89382668877,2300.5432908303187,4,3,259,1048,3556744088,1139802126,503.0,59.333333333333336,0,0,0.017708127634083057,0.004006028175354004,1771531410.400132,1771531410.477505,0.012952009836832682,0.019744038581848145,0.03799009323120117,0.07737302780151367,0.03799009323120117,0,17,0,0,0,18,4,4,33,18,1,4
0.0,51190,0.0,443,tcp,ACC,0.07732105255126953,2044,178,128,121,0,0,https,26435.23248270163,2302.0897171824317,4,3,259,1048,3857828590,1597604062,511.0,59.333333333333336,0,0,0.017447624169748738,0.004432082176208496,1771531410.462547,1771531410.539868,0.012652953465779623,0.02004110813140869,0.03732490539550781,0.07732105255126953,0.03732490539550781,0,17,0,0,0,18,4,4,33,18,1,4
0.0,5353,0.0,5353,udp,INT,1.050523042678833,273,0,255,0,0,0,other,259.8705491541149,0.0,2,0,0,0,0,0,136.5,0.0,0,0,0.0,0.0,1771531411.241684,1771531412.292207,1.050523042678833,0.0,0.0,0.0,0.0,1,24,0,0,0,1,27,27,1,1,27,1
0.0,57621,0.0,57621,udp,INT,1e-06,82,0,64,0,0,0,other,82000000.0,0.0,1,0,0,0,0,0,82.0,0.0,0,0,0.0,0.0,1771531411.31048,1771531411.31048,0.0,0.0,0.0,0.0,0.0,1,3,0,0,0,2,6,6,2,1,5,1
0.0,49667,0.0,3702,udp,INT,1.083622932434082,4480,0,1,0,0,0,other,4134.279430518164,0.0,4,0,0,0,0,0,1120.0,0.0,0,0,0.1253041656580204,0.0,1771531412.701966,1771531413.785589,0.36120764414469403,0.0,0.0,0.0,0.0,0,14,0,0,0,2,5,5,2,1,1,1
0.0,5353,0.0,5353,udp,INT,1.3309471607208252,481,0,1,0,0,0,other,361.39676629949463,0.0,5,0,0,0,0,0,96.2,0.0,0,0,0.5763170261395024,0.0,1771531413.112316,1771531414.443263,0.3327367901802063,0.0,0.0,0.0,0.0,1,14,0,0,0,2,27,27,2,1,27,1
0.0,51126,0.0,443,tcp,ACC,0.02267003059387207,55,66,128,55,0,0,https,2426.1105326812853,2911.3326392175422,1,1,508,16,1023813793,1198812514,55.0,66.0,0,0,0.0,0.0,1771531413.211237,1771531413.233907,0.0,0.0,0.0,0.0,0.0,0,17,0,0,0,18,2,2,33,18,1,2
0.0,51133,0.0,443,tcp,ACC,0.02248096466064453,55,66,128,55,0,0,https,2446.5142323845075,2935.8170788614093,1,1,508,18,2216250016,2587254594,55.0,66.0,0,0,0.0,0.0,1771531414.139177,1771531414.161658,0.0,0.0,0.0,0.0,0.0,0,17,0,0,0,18,2,2,33,18,1,2
0.0,51191,0.0,443,tcp,ACC,1e-06,66,0,128,0,0,0,https,66000000.0,0.0,1,0,64240,0,1583035008,0,66.0,0.0,0,0,0.0,0.0,1771531414.432117,1771531414.432117,0.0,0.0,0.0,0.0,0.0,0,17,0,0,0,18,5,5,33,18,1,5
